asin,title,img_url,product_url,stars,reviews,price,list_price,category_id,is_best_seller,bought_in_last_month
B08SGC46M9,"Blink Video Doorbell + Sync Module 2 | Two-year battery life, Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",https://m.media-amazon.com/images/I/41mAlRlMUxL._AC_UY218_.jpg,https://www.amazon.com/dp/B08SGC46M9,4.3,112742,94.98,0.0,190,False,0
B01N3ASPNV,amFilm Tempered Glass Screen Protector for Nintendo Switch 2017 (2-Pack),https://m.media-amazon.com/images/I/61c5QrQGeEL._AC_UY218_.jpg,https://www.amazon.com/dp/B01N3ASPNV,4.7,110857,8.91,13.99,255,False,0
B01IW9TM5O,Born a Crime: Stories from a South African Childhood,https://m.media-amazon.com/images/I/91RTxlqiz4L._AC_UY218_.jpg,https://www.amazon.com/dp/B01IW9TM5O,4.7,103595,0.0,21.7,255,False,0
B08DJBDG5L,"Sengled Alexa Light Bulb, S1 Auto Pairing with Alexa Devices, Warm Smart Light Bulbs, Bluetooth Mesh Smart Home Lighting, E26 60W Equivalent, 800LM, 1-Pack",https://m.media-amazon.com/images/I/61h2NO0RajL._AC_UL320_.jpg,https://www.amazon.com/dp/B08DJBDG5L,4.4,104712,9.99,0.0,206,False,0
B06XRLR9RQ,"Essential Oils Set - Top 6 Blends for Diffusers, Home Care, Candle Making Scents, Fragrance, Aromatherapy, Humidifiers, Gifts - Peppermint, Tea Tree, Lavender, Eucalyptus, Lemongrass, Orange (10mL)",https://m.media-amazon.com/images/I/81rwL6S6g4L._AC_UL320_.jpg,https://www.amazon.com/dp/B06XRLR9RQ,4.4,130076,8.99,15.99,128,False,20000
B00V9JP8EE,"InnoGear Essential Oil Diffuser, Upgraded Diffusers for Essential Oils Aromatherapy Diffuser Cool Mist Humidifier with 7 Colors Lights 2 Mist Mode Waterless Auto Off for Home Office Room, Basic White",https://m.media-amazon.com/images/I/51IwYHykGqL._AC_UL320_.jpg,https://www.amazon.com/dp/B00V9JP8EE,4.5,117661,15.99,19.99,128,False,6000
B075QDWKRL,"Gya Labs Clove Oil for Teeth and Gums - 100% Natural Clove Essential Oil for Oral Comfort - Clove Oil Essential Oil - Clove Bud Oil for Hair, Skin & Oral Care (0.34 fl oz)",https://m.media-amazon.com/images/I/81DNJbK1vCL._AC_UL320_.jpg,https://www.amazon.com/dp/B075QDWKRL,4.4,128091,7.89,0.0,128,False,2000
B003N9M6YI,Nuby Ice Gel Teether Keys,https://m.media-amazon.com/images/I/81r-DLsYsZL._AC_UL320_.jpg,https://www.amazon.com/dp/B003N9M6YI,4.7,103717,4.88,5.99,230,False,10000
B08HYW2MKG,"Beetles Gel Nail Polish, 1 Pcs 15ml Audrey Black Color Soak Off Nail Art Manicure Salon DIY Nail Lamp Gel Nail Design Decoration at Home Gift for Women",https://m.media-amazon.com/images/I/61WhxYXtumL._AC_UL320_.jpg,https://www.amazon.com/dp/B08HYW2MKG,4.5,114067,6.99,9.99,51,True,7000
B0045PKGE6,Cuccio Naturale Revitalizing Cuticle Oil - Hydrating Oil For Repaired Cuticles Overnight - Remedy For Damaged Skin And Thin Nails - Paraben/Cruelty-Free Formula - Milk And Honey - 0.5 Oz,https://m.media-amazon.com/images/I/61-EiEGA3TL._AC_UL320_.jpg,https://www.amazon.com/dp/B0045PKGE6,4.7,119810,5.99,7.0,51,False,1000
